Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
2024-01-24,Performance max,1.0,0.0,0.0,0.0,0.0
2024-01-24,Search & content,125444.0,629.0,989.1,12.0,1990.8
2024-01-24,Shopping,356781.0,1228.0,610.4,4.0,772.0
2024-01-25,Audience,9916.0,43.0,22.8,0.0,0.0
2024-01-25,Search & content,148385.0,655.0,990.8,15.0,2829.7
2024-01-25,Shopping,400462.0,1384.0,730.6,4.0,539.6
2024-01-26,Audience,9584.0,44.0,23.5,0.0,0.0
2024-01-26,Performance max,1.0,0.0,0.0,0.0,0.0
2024-01-26,Search & content,144807.0,612.0,961.7,11.0,1238.6
2024-01-26,Shopping,259856.0,852.0,431.9,8.0,1383.1
2024-01-27,Audience,6973.0,40.0,23.0,0.0,0.0
2024-01-27,Search & content,103390.0,678.0,930.4,4.0,419.6
2024-01-27,Shopping,98093.0,431.0,189.7,3.0,463.6
2024-01-28,Audience,9703.0,39.0,20.4,0.0,0.0
2024-01-28,Search & content,110719.0,740.0,961.6,4.0,762.0
2024-01-28,Shopping,86299.0,411.0,176.9,2.0,229.0
2024-01-29,Audience,9777.0,43.0,23.0,1.0,191.9
2024-01-29,Performance max,0.0,0.0,0.0,0.0,0.0
2024-01-29,Search & content,141098.0,623.0,979.1,12.0,1633.1
2024-01-29,Shopping,136726.0,506.0,323.1,8.0,1425.4
2024-01-30,Audience,7575.0,37.0,20.4,0.0,0.0
2024-01-30,Performance max,30.0,1.0,0.1,2.0,193.2
2024-01-30,Search & content,142916.0,617.0,939.6,17.0,3092.9
2024-01-30,Shopping,129383.0,488.0,302.5,12.0,1597.5
2024-01-31,Audience,6422.0,28.0,15.1,0.0,0.0
2024-01-31,Performance max,2.0,0.0,0.0,0.0,0.0
2024-01-31,Search & content,125734.0,592.0,862.2,14.0,2013.5
2024-01-31,Shopping,139778.0,505.0,281.4,5.0,627.8
2024-02-01,Audience,9987.0,43.0,23.2,0.0,0.0
2024-02-01,Search & content,128332.0,611.0,982.3,15.0,3027.6
2024-02-01,Shopping,161902.0,523.0,317.0,8.0,890.6
2024-02-02,Audience,13544.0,45.0,24.0,0.0,0.0
2024-02-02,Search & content,120566.0,568.0,957.4,18.0,3542.1
2024-02-02,Shopping,144192.0,504.0,335.9,5.0,744.6
2024-02-03,Audience,12528.0,48.0,26.1,0.0,0.0
2024-02-03,Performance max,153.0,3.0,1.0,1.0,148.5
2024-02-03,Search & content,100119.0,736.0,1008.3,10.0,1694.7
2024-02-03,Shopping,102580.0,437.0,190.9,1.0,158.5
2024-02-04,Audience,7652.0,46.0,25.8,0.0,0.0
2024-02-04,Performance max,109.0,0.0,0.0,0.0,0.0
2024-02-04,Search & content,105339.0,725.0,971.9,5.0,661.7
2024-02-04,Shopping,92545.0,492.0,198.9,8.0,1544.9
2024-02-05,Audience,14140.0,52.0,27.3,0.0,0.0
2024-02-05,Performance max,338.0,4.0,2.5,0.0,0.0
2024-02-05,Search & content,134735.0,614.0,999.6,18.0,2457.4
2024-02-05,Shopping,135271.0,517.0,315.6,6.0,1053.6
2024-02-06,Audience,13652.0,48.0,25.2,0.0,0.0
2024-02-06,Performance max,2448.0,25.0,21.9,1.0,132.9
2024-02-06,Search & content,145188.0,605.0,1025.1,15.0,2439.0
2024-02-06,Shopping,122472.0,453.0,261.3,8.0,1323.5
2024-02-07,Audience,11217.0,52.0,27.9,1.0,231.8
2024-02-07,Performance max,2411.0,11.0,14.2,0.0,0.0
2024-02-07,Search & content,141631.0,620.0,1046.5,24.0,3562.0
2024-02-07,Shopping,120713.0,464.0,273.0,8.0,1297.1
2024-02-08,Audience,13340.0,48.0,26.4,0.0,0.0
2024-02-08,Performance max,524.0,3.0,1.6,0.0,0.0
2024-02-08,Search & content,140787.0,623.0,1019.3,25.0,5189.9
2024-02-08,Shopping,134646.0,480.0,308.3,4.0,542.5
2024-02-09,Audience,9484.0,51.0,27.4,0.0,0.0
2024-02-09,Performance max,570.0,8.0,5.7,0.0,0.0
2024-02-09,Search & content,126386.0,572.0,1021.2,13.0,1852.4
2024-02-09,Shopping,122915.0,451.0,281.2,5.0,959.7
2024-02-10,Audience,13781.0,52.0,26.5,0.0,0.0
2024-02-10,Performance max,1902.0,10.0,10.0,1.0,136.2
2024-02-10,Search & content,94932.0,583.0,811.1,5.0,679.0
2024-02-10,Shopping,73794.0,353.0,177.1,4.0,602.6
2024-02-11,Audience,8361.0,48.0,25.9,0.0,0.0
2024-02-11,Performance max,1771.0,7.0,6.7,0.0,0.0
2024-02-11,Search & content,96108.0,585.0,890.7,11.0,1233.0
2024-02-11,Shopping,75065.0,360.0,179.2,4.0,645.4
2024-02-12,Audience,10667.0,51.0,27.5,0.0,0.0
2024-02-12,Performance max,2861.0,28.0,34.2,2.0,230.8
2024-02-12,Search & content,135428.0,588.0,1012.8,20.0,3892.3
2024-02-12,Shopping,137542.0,454.0,274.4,10.0,1563.2
2024-02-13,Audience,9140.0,51.0,27.8,0.0,0.0
2024-02-13,Performance max,3095.0,23.0,25.0,0.0,0.0
2024-02-13,Search & content,129862.0,565.0,998.6,15.0,1939.4
2024-02-13,Shopping,112795.0,442.0,250.6,6.0,821.9
2024-02-14,Audience,11990.0,49.0,26.9,0.0,0.0
2024-02-14,Performance max,2730.0,12.0,16.0,0.0,0.0
2024-02-14,Search & content,129188.0,584.0,946.8,12.0,2046.2
2024-02-14,Shopping,73268.0,344.0,224.2,7.0,856.7
2024-02-15,Audience,10872.0,51.0,26.4,0.0,0.0
2024-02-15,Performance max,467.0,4.0,2.3,0.0,0.0
2024-02-15,Search & content,125481.0,576.0,1077.6,19.0,3178.5
2024-02-15,Shopping,76336.0,337.0,234.3,6.0,764.2
2024-02-16,Audience,9671.0,46.0,24.8,0.0,0.0
2024-02-16,Performance max,325.0,3.0,2.5,0.0,0.0
2024-02-16,Search & content,116908.0,628.0,993.3,9.0,1244.6
2024-02-16,Shopping,79430.0,311.0,226.6,6.0,1239.6
2024-02-17,Audience,7896.0,46.0,24.2,0.0,0.0
2024-02-17,Performance max,409.0,4.0,2.7,0.0,0.0
2024-02-17,Search & content,92178.0,623.0,880.8,4.0,610.0
2024-02-17,Shopping,50438.0,264.0,131.4,6.0,1045.6
2024-02-18,Audience,9538.0,48.0,26.5,0.0,0.0
2024-02-18,Performance max,754.0,7.0,5.3,1.0,88.1
2024-02-18,Search & content,68438.0,397.0,608.0,7.0,1297.9
2024-02-18,Shopping,46682.0,292.0,141.3,8.0,1326.6
2024-02-19,Audience,9627.0,48.0,25.7,0.0,0.0
2024-02-19,Performance max,744.0,9.0,4.8,0.0,0.0
2024-02-19,Search & content,104063.0,439.0,754.3,12.0,1512.2
2024-02-19,Shopping,61483.0,320.0,218.8,4.0,501.4
2024-02-20,Audience,8492.0,44.0,23.7,0.0,0.0
2024-02-20,Performance max,3865.0,25.0,30.9,0.0,0.0
2024-02-20,Search & content,128250.0,608.0,1129.8,12.0,2477.3
2024-02-20,Shopping,59748.0,272.0,204.1,5.0,771.4
2024-02-21,Audience,12728.0,44.0,24.0,0.0,0.0
2024-02-21,Performance max,3682.0,25.0,42.7,1.0,102.1
2024-02-21,Search & content,126521.0,556.0,1116.7,10.0,1872.5
2024-02-21,Shopping,60924.0,318.0,222.3,1.0,132.0
2024-02-22,Audience,9583.0,52.0,26.2,0.0,0.0
2024-02-22,Performance max,3845.0,18.0,29.8,0.0,0.0
2024-02-22,Search & content,124080.0,566.0,1074.1,14.0,1787.1
2024-02-22,Shopping,57212.0,325.0,227.7,11.0,1901.6
2024-02-23,Audience,9084.0,46.0,24.7,0.0,0.0
2024-02-23,Performance max,3551.0,22.0,31.2,0.0,0.0
2024-02-23,Search & content,106736.0,534.0,1041.0,9.0,1004.4
2024-02-23,Shopping,65841.0,330.0,246.0,7.0,784.3
2024-02-24,Audience,5457.0,45.0,23.1,0.0,0.0
2024-02-24,Performance max,3388.0,28.0,45.2,0.0,0.0
2024-02-24,Search & content,85931.0,549.0,864.7,4.0,519.6
2024-02-24,Shopping,40951.0,244.0,121.1,11.0,1410.3
2024-02-25,Audience,5796.0,44.0,24.0,0.0,0.0
2024-02-25,Performance max,4481.0,32.0,48.4,0.0,0.0
2024-02-25,Search & content,91093.0,529.0,833.0,4.0,732.4
2024-02-25,Shopping,40600.0,276.0,132.3,8.0,1258.6
2024-02-26,Audience,6637.0,48.0,25.2,0.0,0.0
2024-02-26,Performance max,1693.0,12.0,13.2,1.0,146.1
2024-02-26,Search & content,108148.0,549.0,988.9,20.0,2400.0
2024-02-26,Shopping,64028.0,334.0,242.0,4.0,626.0
2024-02-27,Audience,8172.0,44.0,23.5,0.0,0.0
2024-02-27,Performance max,1153.0,7.0,5.5,0.0,0.0
2024-02-27,Search & content,147401.0,568.0,975.4,20.0,3230.3
2024-02-27,Shopping,64374.0,342.0,226.7,8.0,995.2
2024-02-28,Audience,10009.0,40.0,21.3,0.0,0.0
2024-02-28,Performance max,931.0,12.0,9.4,0.0,0.0
2024-02-28,Search & content,138957.0,578.0,972.8,14.0,1994.8
2024-02-28,Shopping,86940.0,389.0,265.8,6.0,974.3
2024-02-29,Audience,6223.0,38.0,20.2,0.0,0.0
2024-02-29,Performance max,908.0,7.0,4.7,0.0,0.0
2024-02-29,Search & content,121566.0,600.0,1036.9,15.0,1929.4
2024-02-29,Shopping,101774.0,396.0,226.8,9.0,1744.5
2024-03-01,Audience,9088.0,44.0,24.9,0.0,0.0
2024-03-01,Performance max,556.0,10.0,5.9,1.0,117.9
2024-03-01,Search & content,103841.0,563.0,952.8,20.0,2671.0
2024-03-01,Shopping,69349.0,334.0,197.6,7.0,1325.7
2024-03-02,Audience,9920.0,51.0,27.8,1.0,253.2
2024-03-02,Performance max,182.0,4.0,1.5,0.0,0.0
2024-03-02,Search & content,89383.0,540.0,928.2,7.0,825.2
2024-03-02,Shopping,54821.0,260.0,132.8,4.0,761.2
2024-03-03,Audience,7540.0,48.0,27.0,1.0,207.8
2024-03-03,Performance max,272.0,3.0,1.5,0.0,0.0
2024-03-03,Search & content,89215.0,555.0,806.4,4.0,534.2
2024-03-03,Shopping,57341.0,285.0,137.7,5.0,656.7
2024-03-04,Audience,7852.0,46.0,25.2,0.0,0.0
2024-03-04,Performance max,704.0,14.0,7.8,0.0,0.0
2024-03-04,Search & content,130061.0,612.0,968.6,16.0,2045.3
2024-03-04,Shopping,64113.0,297.0,185.4,8.0,1419.5
2024-03-05,Audience,9776.0,47.0,24.4,0.0,0.0
2024-03-05,Performance max,572.0,8.0,5.3,0.0,0.0
2024-03-05,Search & content,127268.0,596.0,1025.0,14.0,1713.2
2024-03-05,Shopping,57068.0,280.0,183.0,10.0,1276.5
2024-03-06,Audience,7699.0,43.0,23.3,0.0,0.0
2024-03-06,Performance max,400.0,1.0,0.1,0.0,0.0
2024-03-06,Search & content,124412.0,646.0,994.6,15.0,2522.1
2024-03-06,Shopping,67137.0,272.0,197.0,8.0,1427.5
2024-03-07,Audience,9079.0,49.0,24.6,0.0,0.0
2024-03-07,Performance max,656.0,5.0,2.2,0.0,0.0
2024-03-07,Search & content,131960.0,613.0,1042.0,22.0,3993.5
2024-03-07,Shopping,63597.0,308.0,191.4,6.0,899.9
2024-03-08,Audience,12804.0,49.0,24.1,1.0,215.0
2024-03-08,Performance max,680.0,8.0,6.6,1.0,145.6
2024-03-08,Search & content,104673.0,572.0,942.8,6.0,766.1
2024-03-08,Shopping,68995.0,299.0,193.9,11.0,2130.0
2024-03-09,Audience,6497.0,44.0,23.4,0.0,0.0
2024-03-09,Performance max,648.0,8.0,4.7,1.0,111.1
2024-03-09,Search & content,84320.0,592.0,798.2,4.0,692.9
2024-03-09,Shopping,49485.0,249.0,118.3,4.0,614.7
2024-03-10,Audience,6128.0,44.0,23.4,0.0,0.0
2024-03-10,Performance max,414.0,4.0,2.3,0.0,0.0
2024-03-10,Search & content,75034.0,548.0,735.7,8.0,1396.3
2024-03-10,Shopping,43348.0,226.0,117.7,3.0,401.7
2024-03-11,Audience,7580.0,42.0,23.1,1.0,196.0
2024-03-11,Performance max,1685.0,9.0,5.3,0.0,0.0
2024-03-11,Search & content,121518.0,571.0,928.6,17.0,2385.4
2024-03-11,Shopping,59276.0,287.0,194.3,5.0,879.1
2024-03-12,Audience,7189.0,45.0,23.3,0.0,0.0
2024-03-12,Performance max,1420.0,15.0,10.7,0.0,0.0
2024-03-12,Search & content,122935.0,559.0,875.1,18.0,2992.1
2024-03-12,Shopping,65972.0,262.0,180.8,12.0,2479.2
2024-03-13,Audience,7907.0,44.0,23.3,0.0,0.0
2024-03-13,Performance max,1787.0,17.0,18.1,0.0,0.0
2024-03-13,Search & content,124848.0,524.0,871.1,13.0,1514.6
2024-03-13,Shopping,93783.0,286.0,205.8,9.0,1758.2
2024-03-14,Audience,7538.0,44.0,23.2,0.0,0.0
2024-03-14,Performance max,1407.0,13.0,11.3,0.0,0.0
2024-03-14,Search & content,106185.0,624.0,1026.4,16.0,2903.9
2024-03-14,Shopping,67539.0,285.0,191.9,10.0,1798.1
2024-03-15,Audience,8472.0,44.0,22.9,0.0,0.0
2024-03-15,Performance max,348.0,5.0,1.3,0.0,0.0
2024-03-15,Search & content,118752.0,512.0,835.5,9.0,1760.5
2024-03-15,Shopping,53826.0,256.0,184.8,3.0,470.4
2024-03-16,Audience,6152.0,48.0,24.6,0.0,0.0
2024-03-16,Performance max,223.0,1.0,0.0,0.0,0.0
2024-03-16,Search & content,83743.0,546.0,790.1,7.0,766.8
2024-03-16,Shopping,44153.0,219.0,115.4,6.0,767.0
2024-03-17,Audience,7581.0,48.0,24.4,1.0,286.0
2024-03-17,Performance max,200.0,2.0,0.4,0.0,0.0
2024-03-17,Search & content,77900.0,544.0,693.9,4.0,654.5
2024-03-17,Shopping,33774.0,222.0,121.9,4.0,467.4
2024-03-18,Audience,11825.0,47.0,23.7,0.0,0.0
2024-03-18,Performance max,362.0,2.0,0.6,0.0,0.0
2024-03-18,Search & content,98083.0,470.0,871.5,14.0,2249.7
2024-03-18,Shopping,64360.0,253.0,194.0,8.0,962.9
2024-03-19,Audience,7623.0,46.0,23.8,0.0,0.0
2024-03-19,Performance max,315.0,2.0,1.1,1.0,135.3
2024-03-19,Search & content,107002.0,586.0,1044.6,16.0,2470.7
2024-03-19,Shopping,77059.0,286.0,223.2,8.0,1175.4
2024-03-20,Audience,7199.0,44.0,23.0,0.0,0.0
2024-03-20,Performance max,518.0,13.0,2.8,1.0,95.4
2024-03-20,Search & content,55964.0,457.0,661.7,15.0,2911.9
2024-03-20,Shopping,64130.0,256.0,186.3,5.0,777.2
2024-03-21,Audience,6755.0,44.0,23.2,3.0,610.7
2024-03-21,Performance max,472.0,0.0,0.0,0.0,0.0
2024-03-21,Search & content,61769.0,465.0,588.1,10.0,1649.5
2024-03-21,Shopping,69289.0,249.0,182.9,6.0,710.2
2024-03-22,Audience,6544.0,46.0,24.3,0.0,0.0
2024-03-22,Performance max,440.0,6.0,2.8,0.0,0.0
2024-03-22,Search & content,45851.0,420.0,607.0,9.0,1096.2
2024-03-22,Shopping,62694.0,252.0,170.2,8.0,1481.8
2024-03-23,Audience,8274.0,46.0,23.1,0.0,0.0
2024-03-23,Performance max,391.0,8.0,5.1,0.0,0.0
2024-03-23,Search & content,41920.0,421.0,375.8,3.0,416.4
2024-03-23,Shopping,42452.0,182.0,106.1,8.0,1739.3
2024-03-24,Audience,7920.0,41.0,22.9,0.0,0.0
2024-03-24,Performance max,730.0,11.0,7.4,0.0,0.0
2024-03-24,Search & content,42850.0,416.0,428.3,4.0,502.3
2024-03-24,Shopping,45698.0,221.0,110.7,4.0,396.1
2024-03-25,Audience,8623.0,47.0,22.7,0.0,0.0
2024-03-25,Performance max,883.0,7.0,5.1,0.0,0.0
2024-03-25,Search & content,111337.0,511.0,647.4,17.0,2193.7
2024-03-25,Shopping,70187.0,291.0,186.6,6.0,879.3
2024-03-26,Audience,8502.0,42.0,22.7,0.0,0.0
2024-03-26,Performance max,1120.0,12.0,11.4,0.0,0.0
2024-03-26,Search & content,68149.0,463.0,566.3,12.0,1751.1
2024-03-26,Shopping,65652.0,258.0,191.6,5.0,1012.0
2024-03-27,Audience,8759.0,45.0,22.2,0.0,0.0
2024-03-27,Performance max,1078.0,14.0,11.1,0.0,0.0
2024-03-27,Search & content,69145.0,452.0,643.3,12.0,1524.3
2024-03-27,Shopping,61554.0,255.0,178.7,7.0,893.7
2024-03-28,Audience,13365.0,41.0,21.6,0.0,0.0
2024-03-28,Performance max,1008.0,6.0,2.2,0.0,0.0
2024-03-28,Search & content,96345.0,466.0,619.4,23.0,3200.4
2024-03-28,Shopping,58308.0,229.0,174.6,5.0,876.7
2024-03-29,Audience,10999.0,47.0,24.6,2.0,479.5
2024-03-29,Performance max,769.0,4.0,6.5,0.0,0.0
2024-03-29,Search & content,48806.0,367.0,379.7,12.0,2179.5
2024-03-29,Shopping,64562.0,248.0,178.1,5.0,809.1
2024-03-30,Audience,7995.0,44.0,23.2,0.0,0.0
2024-03-30,Performance max,550.0,9.0,6.7,0.0,0.0
2024-03-30,Search & content,46870.0,398.0,409.6,5.0,815.9
2024-03-30,Shopping,47294.0,234.0,109.1,5.0,847.5
2024-03-31,Audience,5455.0,32.0,17.7,0.0,0.0
2024-03-31,Performance max,162.0,1.0,0.2,0.0,0.0
2024-03-31,Search & content,32798.0,323.0,399.3,3.0,435.7
2024-03-31,Shopping,38803.0,188.0,90.4,4.0,384.6
2024-04-01,Audience,11392.0,48.0,24.9,1.0,253.1
2024-04-01,Performance max,665.0,7.0,3.0,0.0,0.0
2024-04-01,Search & content,69157.0,434.0,602.5,15.0,2365.2
2024-04-01,Shopping,75104.0,256.0,177.5,6.0,1085.5
2024-04-02,Audience,7761.0,45.0,25.7,1.0,295.2
2024-04-02,Performance max,874.0,8.0,5.6,0.0,0.0
2024-04-02,Search & content,60656.0,412.0,683.9,12.0,2255.3
2024-04-02,Shopping,58136.0,262.0,181.0,8.0,955.3
2024-04-03,Audience,10687.0,53.0,26.9,1.0,206.5
2024-04-03,Performance max,819.0,6.0,1.9,3.0,285.8
2024-04-03,Search & content,118768.0,564.0,868.6,9.0,1557.3
2024-04-03,Shopping,68115.0,280.0,193.9,10.0,1989.9
2024-04-04,Audience,8616.0,47.0,24.5,0.0,0.0
2024-04-04,Performance max,472.0,6.0,2.7,0.0,0.0
2024-04-04,Search & content,130724.0,580.0,878.3,14.0,2084.3
2024-04-04,Shopping,57720.0,261.0,178.8,4.0,454.2
2024-04-05,Audience,12385.0,52.0,24.7,0.0,0.0
2024-04-05,Performance max,1208.0,10.0,5.0,0.0,0.0
2024-04-05,Search & content,115031.0,540.0,742.2,11.0,1827.5
2024-04-05,Shopping,59422.0,256.0,175.5,7.0,1287.2
2024-04-06,Audience,10489.0,54.0,25.8,0.0,0.0
2024-04-06,Performance max,1644.0,11.0,8.1,0.0,0.0
2024-04-06,Search & content,127894.0,680.0,599.6,7.0,1016.7
2024-04-06,Shopping,48667.0,256.0,130.2,7.0,1050.7
2024-04-07,Audience,7863.0,54.0,25.3,0.0,0.0
2024-04-07,Performance max,1611.0,8.0,5.4,0.0,0.0
2024-04-07,Search & content,115695.0,800.0,680.6,12.0,1373.1
2024-04-07,Shopping,35310.0,202.0,107.0,3.0,416.3
2024-04-08,Audience,7360.0,52.0,26.1,0.0,0.0
2024-04-08,Performance max,2056.0,24.0,24.2,1.0,100.3
2024-04-08,Search & content,106684.0,517.0,716.7,17.0,2537.0
2024-04-08,Shopping,74396.0,337.0,210.3,10.0,1862.7
2024-04-09,Audience,9792.0,48.0,24.4,0.0,0.0
2024-04-09,Performance max,655.0,2.0,0.8,0.0,0.0
2024-04-09,Search & content,79364.0,457.0,643.3,19.0,3600.8
2024-04-09,Shopping,70218.0,312.0,206.5,4.0,768.9
2024-04-10,Audience,8244.0,49.0,24.6,0.0,0.0
2024-04-10,Performance max,470.0,7.0,3.2,1.0,103.0
2024-04-10,Search & content,80732.0,491.0,734.1,15.0,2845.8
2024-04-10,Shopping,57968.0,256.0,183.2,9.0,1176.3
2024-04-11,Audience,8990.0,54.0,26.6,0.0,0.0
2024-04-11,Performance max,1002.0,7.0,3.2,0.0,0.0
2024-04-11,Search & content,104320.0,525.0,748.4,12.0,1929.7
2024-04-11,Shopping,66933.0,251.0,175.2,5.0,585.4
2024-04-12,Audience,12797.0,56.0,24.9,0.0,0.0
2024-04-12,Performance max,358.0,2.0,1.2,0.0,0.0
2024-04-12,Search & content,93247.0,482.0,855.2,12.0,1446.4
2024-04-12,Shopping,61066.0,256.0,176.3,7.0,813.8
2024-04-13,Audience,11412.0,52.0,24.9,0.0,0.0
2024-04-13,Performance max,330.0,3.0,1.0,0.0,0.0
2024-04-13,Search & content,66036.0,451.0,553.8,8.0,1544.7
2024-04-13,Shopping,47314.0,222.0,109.1,4.0,709.6
2024-04-14,Audience,6832.0,55.0,25.9,0.0,0.0
2024-04-14,Performance max,401.0,2.0,1.3,0.0,0.0
2024-04-14,Search & content,64748.0,464.0,542.2,9.0,1518.4
2024-04-14,Shopping,44756.0,212.0,107.9,4.0,412.9
2024-04-15,Audience,9611.0,52.0,24.1,0.0,0.0
2024-04-15,Performance max,907.0,9.0,5.3,0.0,0.0
2024-04-15,Search & content,111208.0,502.0,766.4,14.0,1897.4
2024-04-15,Shopping,57176.0,245.0,175.9,9.0,1256.0
2024-04-16,Audience,11105.0,60.0,24.5,0.0,0.0
2024-04-16,Performance max,1050.0,16.0,11.3,1.0,139.7
2024-04-16,Search & content,108833.0,502.0,806.9,18.0,3415.1
2024-04-16,Shopping,59052.0,255.0,176.5,9.0,1110.8
2024-04-17,Audience,8888.0,56.0,24.4,0.0,0.0
2024-04-17,Performance max,1155.0,14.0,10.8,0.0,0.0
