Date,Impressions,Reach,Cost,Clicks,Conversions,Revenue
2024-05-18,14381.0,9568.0,105.3,258.0,4.0,243.7
2024-05-19,14021.0,9643.0,99.5,234.0,4.0,2725.6
2024-05-20,13827.0,9174.0,112.7,170.0,44.0,4491.6
2024-05-21,13508.0,8436.0,118.4,165.0,47.0,6049.5
2024-05-22,12208.0,7872.0,97.4,180.0,29.0,5456.8
2024-05-23,8074.0,5774.0,69.6,127.0,40.0,6533.2
2024-05-24,12596.0,7990.0,115.1,194.0,24.0,3398.8
2024-05-25,13243.0,9392.0,94.2,227.0,6.0,719.3
2024-05-26,10536.0,8356.0,70.4,188.0,15.0,3527.7
2024-05-27,18440.0,12948.0,117.8,232.0,34.0,5130.0
2024-05-28,15750.0,11330.0,117.1,212.0,30.0,5827.3
2024-05-29,13473.0,8252.0,118.4,169.0,44.0,11681.6
2024-05-30,16332.0,10580.0,113.8,197.0,8.0,2314.3
2024-05-31,16224.0,10513.0,114.9,187.0,12.0,2514.9
2024-06-01,15332.0,11002.0,99.1,285.0,3.0,432.4
2024-06-02,10612.0,7472.0,69.9,168.0,5.0,365.8
2024-06-03,15457.0,10652.0,124.8,189.0,25.0,4774.3
2024-06-04,7111.0,4724.0,64.8,119.0,14.0,3519.6
2024-06-05,12428.0,6764.0,109.8,176.0,21.0,3760.1
2024-06-06,14337.0,8100.0,125.8,175.0,20.0,9142.1
2024-06-07,15525.0,10342.0,120.4,214.0,23.0,3695.0
2024-06-08,14895.0,10356.0,113.8,183.0,4.0,458.3
2024-06-09,19138.0,12912.0,122.2,268.0,4.0,384.4
2024-06-10,15692.0,10555.0,119.4,196.0,20.0,4662.4
2024-06-11,12114.0,7296.0,95.0,148.0,20.0,3904.4
2024-06-12,7578.0,4889.0,62.8,96.0,16.0,3662.7
2024-06-13,7024.0,4945.0,63.2,99.0,24.0,6924.6
2024-06-14,9494.0,6555.0,85.8,126.0,10.0,3061.1
2024-06-15,14883.0,9654.0,112.5,228.0,5.0,869.3
2024-06-16,18524.0,11868.0,116.9,237.0,7.0,689.1
2024-06-17,13956.0,8796.0,106.7,173.0,27.0,6119.0
2024-06-18,11049.0,7086.0,103.3,132.0,15.0,2450.7
2024-06-19,13298.0,7944.0,114.8,163.0,26.0,6734.2
2024-06-20,12785.0,7030.0,115.9,176.0,21.0,4651.9
2024-06-21,12366.0,6822.0,109.4,144.0,11.0,1863.4
2024-06-22,16267.0,9628.0,116.0,220.0,7.0,760.6
2024-06-23,17420.0,9855.0,119.3,196.0,8.0,2854.0
2024-06-24,13633.0,8068.0,115.2,145.0,26.0,5765.0
2024-06-25,12497.0,7021.0,105.5,140.0,16.0,2778.9
2024-06-26,13392.0,7448.0,110.9,148.0,15.0,3196.5
2024-06-27,13092.0,7244.0,109.7,161.0,17.0,4032.7
2024-06-28,13678.0,7779.0,106.7,165.0,22.0,6409.1
2024-06-29,17855.0,10665.0,115.4,273.0,4.0,649.7
2024-06-30,19402.0,11267.0,119.7,261.0,9.0,1536.7
